provider,type,range
Azion,ipv4,179.191.160.0/24
Azion,ipv4,179.191.161.0/24
Azion,ipv4,179.191.162.0/24
Azion,ipv4,179.191.163.0/24
Azion,ipv4,179.191.165.0/24
Azion,ipv4,179.191.166.0/24
Azion,ipv4,179.191.167.0/24
Azion,ipv4,179.191.168.0/24
Azion,ipv4,179.191.169.0/24
Azion,ipv4,179.191.170.0/24
Azion,ipv4,179.191.171.0/24
Azion,ipv4,179.191.172.0/24
Azion,ipv4,179.191.173.0/24
Azion,ipv4,179.191.174.0/24
Azion,ipv4,179.191.175.0/24
Azion,ipv4,179.191.177.0/24
Azion,ipv4,179.191.178.0/24
Azion,ipv4,179.191.179.0/24
Azion,ipv4,179.191.180.0/24
Azion,ipv4,179.191.181.0/24
Azion,ipv4,179.191.182.0/24
Azion,ipv4,179.191.183.0/24
Azion,ipv4,179.191.185.0/24
Azion,ipv4,179.191.186.0/24
Azion,ipv4,179.191.187.0/24
Azion,ipv4,179.191.188.0/24
Azion,ipv4,179.191.189.0/24
Azion,ipv4,179.191.190.0/24
Azion,ipv4,179.191.191.0/24
Azion,ipv4,186.195.65.0/24
Azion,ipv4,186.195.66.0/24
Azion,ipv4,186.195.67.0/24
Azion,ipv4,186.195.68.0/24
Azion,ipv4,186.195.69.0/24
Azion,ipv4,186.195.70.0/24
Azion,ipv4,186.195.71.0/24
Azion,ipv4,186.195.72.0/24
Azion,ipv4,186.195.73.0/24
Azion,ipv4,186.195.74.0/24
Azion,ipv4,186.195.75.0/24
Azion,ipv6,2804:cf8:3::/48
Azion,ipv6,2804:cf8:a::/48
Azion,ipv6,2804:cf8:b::/48
Azion,ipv6,2804:cf8:c::/48
Azion,ipv6,2804:cf8:d::/48
Azion,ipv6,2804:cf8:f::/48
Azion,ipv6,2804:cf8:10::/48
Azion,ipv6,2804:cf8:12::/48
Azion,ipv6,2804:cf8:13::/48
Azion,ipv6,2804:cf8:14::/48
Azion,ipv6,2804:cf8:15::/48
Azion,ipv6,2804:cf8:16::/48
Azion,ipv6,2804:cf8:17::/48
Azion,ipv6,2804:cf8:18::/48
Azion,ipv6,2804:cf8:c000::/48
Azion,ipv6,2804:cf8:c001::/48
Azion,ipv6,2804:cf8:c002::/48
Azion,ipv6,2804:cf8:c004::/48
Azion,ipv6,2804:cf8:c006::/48
Azion,ipv6,2804:cf8:c007::/48
Azion,ipv6,2804:cf8:e004::/48
Azion,ipv6,2804:cf8:e005::/48
AzureFrontDoor,ipv4,4.145.22.160/29
AzureFrontDoor,ipv4,4.147.44.8/29
AzureFrontDoor,ipv4,4.173.102.138/31
AzureFrontDoor,ipv4,4.173.103.144/29
AzureFrontDoor,ipv4,4.188.10.28/30
AzureFrontDoor,ipv4,4.188.12.24/29
AzureFrontDoor,ipv4,4.191.92.24/29
AzureFrontDoor,ipv4,4.199.29.134/31
AzureFrontDoor,ipv4,4.199.29.184/29
AzureFrontDoor,ipv4,4.208.127.240/29
AzureFrontDoor,ipv4,4.216.8.160/29
AzureFrontDoor,ipv4,4.223.184.160/30
AzureFrontDoor,ipv4,4.232.98.112/29
AzureFrontDoor,ipv4,13.73.248.8/29
AzureFrontDoor,ipv4,13.80.194.200/29
AzureFrontDoor,ipv4,13.105.221.0/24
AzureFrontDoor,ipv4,13.107.208.0/24
AzureFrontDoor,ipv4,13.107.213.0/24
AzureFrontDoor,ipv4,13.107.224.0/24
